,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
54,28-07-20,0.0,8925733.602949208,0.0,3901584974.487629,0.0,17851467.205898415,17851467.205898415,779.2287632205511,70957.4712623726
55,30-07-20,0.0,12208267.70841724,0.0,41945995.21857141,0.0,24416535.41683448,24416535.41683448,1623.776167723468,287798.38716219936
56,31-07-20,93442623.38476948,0.0,93442623.38476948,0.0,93442623.38476948,0.0,93442623.38476948,379.8142961667034,925258.1695217632
57,01-08-20,0.0,3445443997.306348,0.0,6890887994.612696,0.0,6890887994.612696,6890887994.612696,972.6430479516739,3769836.4939773413
58,03-08-20,97603370.28997262,2833961.4558956022,97603370.28997262,301470994.8703743,97603370.28997262,19837730.191269215,117441100.48124184,404.9073814713759,1058434.5899501622
59,04-08-20,0.0,114607263.33282797,0.0,343821789.9984839,0.0,343821789.9984839,343821789.9984839,503.0886904346916,440084.07141054847
60,05-08-20,0.0,20297396.828077417,0.0,53336973.89939224,0.0,40594793.656154834,40594793.656154834,378.15141974042695,326150.3948125306
61,06-08-20,48717904.491491236,10084457.305786705,48717904.491491236,44721303.162422806,48717904.491491236,30253371.917360112,78971276.40885136,464.5314669471131,319553.8053187784
62,07-08-20,0.0,4913205.978803702,0.0,274353757.6947932,0.0,34392441.85162591,34392441.85162591,0.5944631454316672,559075.9027018116
63,08-08-20,0.0,4804917.888060349,0.0,154027780.9811081,0.0,14414753.664181048,14414753.664181048,1773.3576986620003,1292095.1221613793
64,09-08-20,0.0,16718077.702355802,0.0,33436155.404711604,0.0,33436155.404711604,33436155.404711604,1602.847397464564,864350.6417292713
65,10-08-20,84735420.12039511,0.0,145574166.67771798,0.0,169470840.24079022,0.0,169470840.24079022,957.1256191765848,782842.9721668173
66,11-08-20,0.0,61788634.1303353,0.0,123577268.2606706,0.0,123577268.2606706,123577268.2606706,1096.772970796986,923823.1009665317
67,12-08-20,83119792.27769326,9139818.6674764,83119792.27769326,132168470.93104497,83119792.27769326,18279637.3349528,101399429.61264606,328.1100014190689,111826.94682053661
68,13-08-20,27821963.72845094,22527225.68951891,27821963.72845094,45054451.37903782,27821963.72845094,45054451.37903782,72876415.10748875,376.6032479446136,507621.0814178527
69,14-08-20,771873711.3435844,21733801.62403912,771873711.3435844,43467603.24807824,771873711.3435844,43467603.24807824,815341314.5916626,839.3749059725158,2657233.934653519
70,15-08-20,250383836.22963515,0.0,250383836.22963515,0.0,250383836.22963515,0.0,250383836.22963515,636.8564935491531,1404017.470074354
71,16-08-20,70705833.01194268,8923880.559989203,70705833.01194268,185939694.97200555,70705833.01194268,17847761.119978406,88553594.13192108,1514.0119251081035,1264636.9031599283
72,17-08-20,32777410.291841414,20030345.507330686,32777410.291841414,170151472.06964487,32777410.291841414,60091036.52199206,92868446.81383348,304.1026174253692,140686.36507905216
73,18-08-20,28466641.231719423,52047358.507683545,28466641.231719423,156142075.52305064,28466641.231719423,156142075.52305064,184608716.75477007,913.698199732317,636669.620786747
74,19-08-20,0.0,6471306.804577283,0.0,205758119.77452618,0.0,32356534.022886414,32356534.022886414,823.9863146171027,788828.9211690582
75,20-08-20,0.0,85042545.83795035,0.0,425212729.18975174,0.0,425212729.18975174,425212729.18975174,200.22394669430784,3121387.90918913
76,21-08-20,0.0,21153952.97534381,0.0,21153952.97534381,0.0,21153952.97534381,21153952.97534381,449.9094151863789,1222.0769478771617
77,22-08-20,0.0,22467661.548564434,0.0,22467661.548564434,0.0,22467661.548564434,22467661.548564434,703.3734905188942,57257.99742215498
78,23-08-20,0.0,7595451.811699567,0.0,63584444.83867326,0.0,15190903.623399135,15190903.623399135,1001.4251137303962,1132450.7155770233
79,24-08-20,0.0,219091344.21191657,0.0,657274032.6357497,0.0,657274032.6357497,657274032.6357497,365.4663924936231,176671.44038832388
80,25-08-20,0.0,22542663.67782718,0.0,67627991.03348154,0.0,67627991.03348154,67627991.03348154,998.2770604040919,370634.7376609147
81,26-08-20,189133359.80237058,8925317.382146297,340468635.5394728,1520917957.5286834,567400079.4071118,17850634.764292594,585250714.1714044,1330.5335470459681,2338710.137708728
82,27-08-20,102041714.37742843,18909432.799829498,102041714.37742843,18909432.799829498,102041714.37742843,18909432.799829498,120951147.17725793,1684.0836465814018,3319896.0753149814
83,28-08-20,0.0,22459548.14159529,0.0,272104545.37740684,0.0,44919096.28319058,44919096.28319058,685.9621371536186,2227300.940203436
84,31-08-20,0.0,15699993.616492124,0.0,47099980.849476375,0.0,47099980.849476375,47099980.849476375,408.17402314258214,421661.3360762393
85,01-09-20,32357976.269564122,185335911.2293963,48384721.58712805,185335911.2293963,64715952.539128244,185335911.2293963,250051863.76852456,1086.7956263914193,580140.6479341533
86,02-09-20,179544118.28665617,7570543.562402239,203947686.66687784,451389962.85530806,359088236.57331234,75705435.6240224,434793672.19733477,696.1215472946865,942543.0666714124
87,03-09-20,15775486.460658807,9579123.68681019,15775486.460658807,63083659.462649524,15775486.460658807,38316494.74724076,54091981.20789957,466.6936288630993,411474.72974680207
